Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1060,Providence State University,2.58,Bachelors,Chicago,N/A,0,0,N/A,3,Senior SWE,07/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1061,Providence School,2.53,Phd,Boston,N/A,1,0,N/A,3,Data scientist,02/20,N/A,ML Engineer,06/19,11/19,Senior SWE,02/19,06/19
1062,Providence University,2.79,Phd,Providence,N/A,0,0,1,4,ML Engineer,09/22,02/23,Junior SWE,11/21,06/22,Research Assistant,03/21,02/22
1063,Providence University,3.27,Phd,Miami,M,1,0,N/A,4,Data scientist,04/23,N/A,Teaching Assistant,07/22,03/23,Junior SWE,12/21,06/22
1064,State Providence College,3.02,Phd,Providence,M,1,1,1,0,ML Engineer,11/23,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1065,Providence University,2.65,Phd,Los Angeles,F,N/A,1,0,4,Senior SWE,03/20,04/20,Research Assistant,07/19,02/20,ML Engineer,02/19,06/19
1066,Providence State University,3.11,Bachelors,Boston,N/A,1,0,N/A,3,Data scientist,05/22,N/A,Junior SWE,05/21,03/22,Senior SWE,02/21,07/21
1067,State Providence College,1.66,Masters,Miami,M,N/A,1,1,3,ML Engineer,03/21,N/A,Data scientist,09/20,12/20,Teaching Assistant,02/20,07/20
1068,Providence School,3.26,Masters,Providence,N/A,N/A,1,N/A,3,Junior SWE,02/22,N/A,Senior SWE,03/21,09/21,Research Assistant,09/20,04/21
1069,Providence School,2.1,Phd,Providence,N/A,1,0,1,0,Senior SWE,01/20,N/A,ML Engineer,06/19,12/19,Teaching Assistant,10/18,04/19
1070,Providence School,2.66,Bachelors,Boston,F,N/A,1,1,1,Data scientist,03/20,02/21,N/A,N/A,N/A,N/A,N/A,N/A
1071,Providence University,2.35,Masters,Los Angeles,N/A,1,0,0,4,Senior SWE,05/21,01/22,Senior SWE,11/20,01/21,ML Engineer,01/20,11/20
1072,Providence University,2.28,Masters,Boston,M,1,0,1,3,ML Engineer,10/20,03/21,ML Engineer,01/20,07/20,Data scientist,06/19,01/20
1073,Providence State University,3.26,Phd,Los Angeles,N/A,N/A,0,1,2,ML Engineer,12/20,03/21,ML Engineer,02/20,08/20,Junior SWE,09/19,03/20
1074,Providence School,2.61,Bachelors,Los Angeles,F,0,0,0,1,Junior SWE,10/21,10/22,ML Engineer,11/20,09/21,Teaching Assistant,08/20,02/21
1075,Providence State University,2.94,Masters,Miami,N/A,0,0,N/A,4,Data scientist,05/21,N/A,Senior SWE,05/20,04/21,N/A,N/A,N/A
1076,Providence School,2.78,Masters,Boston,M,N/A,0,1,1,Junior SWE,08/23,02/24,N/A,N/A,N/A,N/A,N/A,N/A
1077,State Providence College,2.99,Phd,Miami,F,N/A,1,0,4,Lawyer,02/20,N/A,Teaching Assistant,05/19,01/20,Data scientist,02/19,03/19
1078,Providence State University,2.83,Phd,Boston,M,1,0,N/A,2,Data scientist,08/21,N/A,Lawyer,08/20,07/21,Junior SWE,03/20,09/20
1079,Providence State University,2.29,Phd,Boston,M,0,1,1,3,Junior SWE,12/23,09/24,Senior SWE,06/23,08/23,Research Assistant,09/22,02/23
1080,Providence University,3.2,Phd,Los Angeles,N/A,1,1,1,0,Lawyer,05/20,10/20,Research Assistant,07/19,02/20,Research Assistant,03/19,09/19
1081,Providence University,2.6,Masters,Providence,F,N/A,0,N/A,3,ML Engineer,12/21,N/A,ML Engineer,06/21,07/21,Research Assistant,07/20,03/21
1082,Providence State University,2.18,Masters,Los Angeles,M,0,1,1,2,Junior SWE,07/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1083,State Providence College,2.63,Bachelors,Los Angeles,N/A,0,0,N/A,3,ML Engineer,05/23,N/A,Teaching Assistant,08/22,01/23,ML Engineer,04/22,06/22
1084,Providence University,3.4,Bachelors,Chicago,F,0,1,1,4,Lawyer,09/22,11/22,Data scientist,09/21,07/22,Teaching Assistant,05/21,09/21
1085,Providence School,3.14,Bachelors,Chicago,F,1,0,0,1,Senior SWE,09/20,N/A,Research Assistant,11/19,08/20,Research Assistant,07/19,02/20
1086,Providence State University,2.66,Masters,Providence,N/A,0,0,N/A,0,Data scientist,08/20,09/20,Junior SWE,02/20,05/20,Lawyer,07/19,11/19
1087,Providence University,2.66,Phd,Providence,N/A,0,1,1,0,Data scientist,08/20,N/A,Research Assistant,10/19,04/20,Research Assistant,04/19,01/20
1088,Providence University,2.67,Bachelors,Boston,M,1,1,1,0,Data scientist,02/20,N/A,ML Engineer,02/19,10/19,Senior SWE,12/18,02/19
1089,State Providence College,3.63,Phd,Providence,N/A,1,1,1,1,Senior SWE,10/21,10/22,Data scientist,12/20,05/21,ML Engineer,10/20,03/21
1090,Providence State University,2.95,Bachelors,Providence,N/A,1,1,0,3,Data scientist,01/22,12/22,Lawyer,05/21,08/21,Junior SWE,09/20,01/21
1091,Providence School,2.97,Masters,Boston,F,1,1,1,0,Senior SWE,07/20,N/A,Teaching Assistant,08/19,03/20,Junior SWE,02/19,07/19
1092,State Providence College,3.21,Masters,Providence,N/A,0,1,1,4,Data scientist,12/21,07/22,Teaching Assistant,06/21,10/21,Junior SWE,07/20,12/20
1093,Providence State University,2.9,Phd,Los Angeles,N/A,1,0,N/A,0,Lawyer,06/22,N/A,ML Engineer,06/21,02/22,Junior SWE,12/20,11/21
1094,Providence State University,2.7,Masters,Boston,F,N/A,0,1,3,Lawyer,10/23,11/23,Research Assistant,01/23,09/23,Senior SWE,05/22,04/23
1095,Providence University,2.72,Bachelors,Providence,N/A,N/A,0,0,0,Lawyer,05/23,02/24,Research Assistant,10/22,02/23,Data scientist,02/22,05/22
1096,Providence State University,2.77,Bachelors,Miami,F,1,0,N/A,1,Lawyer,01/23,12/23,Teaching Assistant,01/22,12/22,N/A,N/A,N/A
1097,Providence School,2.79,Masters,Los Angeles,M,0,0,N/A,3,Data scientist,02/23,09/23,Data scientist,03/22,01/23,Lawyer,09/21,03/22
1098,Providence University,3.09,Bachelors,Providence,N/A,1,0,N/A,4,Data scientist,04/23,11/23,ML Engineer,07/22,03/23,Senior SWE,03/22,08/22
1099,Providence University,2.82,Masters,Chicago,N/A,1,1,0,0,Data scientist,11/22,N/A,Senior SWE,01/22,10/22,Junior SWE,09/21,05/22
1100,Providence School,3.09,Bachelors,Chicago,M,0,0,0,4,ML Engineer,10/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1101,State Providence College,2.77,Masters,Miami,F,N/A,1,N/A,4,Lawyer,10/23,05/24,Data scientist,01/23,06/23,Senior SWE,09/22,12/22
1102,Providence School,2.83,Phd,Chicago,N/A,1,1,N/A,3,Data scientist,01/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1103,Providence University,2.0,Phd,Providence,N/A,1,0,0,3,ML Engineer,11/20,N/A,Senior SWE,11/19,09/20,ML Engineer,08/19,11/19
1104,Providence University,3.17,Bachelors,Miami,M,N/A,0,0,4,Senior SWE,05/20,06/20,Senior SWE,05/19,02/20,N/A,N/A,N/A
1105,Providence University,2.94,Masters,Chicago,N/A,0,1,1,1,Junior SWE,10/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1106,Providence School,3.2,Phd,Los Angeles,M,0,0,N/A,1,Data scientist,01/20,N/A,Data scientist,06/19,11/19,Junior SWE,07/18,07/19
1107,Providence State University,1.64,Masters,Providence,F,N/A,0,N/A,0,Lawyer,03/22,01/23,N/A,N/A,N/A,N/A,N/A,N/A
1108,Providence State University,3.64,Bachelors,Los Angeles,M,0,0,0,3,Data scientist,08/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1109,State Providence College,2.74,Masters,Providence,F,1,0,N/A,0,Junior SWE,09/22,N/A,Junior SWE,03/22,04/22,Lawyer,09/21,12/21
1110,Providence State University,3.24,Masters,Los Angeles,N/A,1,1,1,4,Junior SWE,11/22,N/A,Data scientist,05/22,06/22,Junior SWE,08/21,01/22
1111,Providence State University,2.38,Masters,Boston,N/A,1,1,0,4,Lawyer,08/20,04/21,Research Assistant,08/19,03/20,N/A,N/A,N/A
1112,Providence University,3.05,Phd,Miami,N/A,0,0,1,1,Junior SWE,05/22,01/23,Research Assistant,05/21,12/21,Lawyer,04/21,06/21
1113,Providence University,2.38,Masters,Boston,M,0,1,1,2,Lawyer,03/23,08/23,Junior SWE,03/22,02/23,N/A,N/A,N/A
1114,Providence School,2.55,Masters,Chicago,M,0,0,N/A,4,ML Engineer,10/23,11/23,ML Engineer,01/23,06/23,Lawyer,08/22,12/22
1115,Providence University,3.57,Masters,Los Angeles,N/A,N/A,1,1,2,ML Engineer,07/23,N/A,Teaching Assistant,12/22,02/23,Data scientist,06/22,01/23
1116,Providence University,2.72,Phd,Providence,F,1,1,0,4,ML Engineer,11/20,N/A,Research Assistant,02/20,10/20,Teaching Assistant,10/19,12/19
1117,State Providence College,2.89,Masters,Chicago,N/A,N/A,1,N/A,1,Senior SWE,08/23,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1118,Providence State University,3.15,Phd,Providence,M,1,1,0,3,Lawyer,02/21,N/A,ML Engineer,08/20,10/20,Data scientist,12/19,04/20
1119,Providence University,3.0,Masters,Providence,N/A,N/A,1,N/A,3,Data scientist,08/21,07/22,Research Assistant,11/20,05/21,Senior SWE,04/20,08/20
1120,Providence State University,2.86,Phd,Boston,N/A,0,1,0,2,ML Engineer,06/21,N/A,Data scientist,10/20,02/21,Senior SWE,02/20,12/20
1121,Providence University,2.95,Bachelors,Boston,F,1,1,N/A,4,Lawyer,07/23,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1122,Providence State University,3.76,Bachelors,Los Angeles,M,1,0,1,3,Senior SWE,06/22,06/23,Teaching Assistant,12/21,03/22,Research Assistant,03/21,12/21
1123,Providence State University,2.78,Bachelors,Boston,N/A,1,1,0,3,Lawyer,06/21,N/A,ML Engineer,07/20,01/21,Lawyer,02/20,12/20
1124,Providence University,2.88,Phd,Chicago,F,0,0,N/A,1,Data scientist,11/22,N/A,Research Assistant,02/22,08/22,Research Assistant,09/21,05/22
1125,Providence School,3.22,Masters,Chicago,F,1,0,0,4,Data scientist,02/22,06/22,Research Assistant,03/21,01/22,Research Assistant,12/20,03/21
1126,Providence University,3.24,Bachelors,Boston,F,N/A,1,1,3,Senior SWE,03/20,04/20,Lawyer,05/19,10/19,Junior SWE,01/19,06/19
1127,State Providence College,3.27,Bachelors,Miami,M,0,1,N/A,2,Lawyer,06/21,N/A,Research Assistant,09/20,04/21,Teaching Assistant,02/20,08/20
1128,State Providence College,3.06,Masters,Los Angeles,N/A,N/A,0,1,0,Lawyer,07/20,N/A,Senior SWE,12/19,03/20,ML Engineer,05/19,01/20
1129,Providence State University,2.34,Phd,Providence,M,N/A,1,1,3,ML Engineer,12/20,07/21,N/A,N/A,N/A,N/A,N/A,N/A
1130,Providence State University,3.45,Masters,Los Angeles,N/A,1,1,0,2,Senior SWE,08/20,05/21,Teaching Assistant,10/19,05/20,ML Engineer,02/19,02/20
1131,Providence School,2.34,Phd,Miami,M,0,0,1,2,ML Engineer,05/23,01/24,Senior SWE,09/22,02/23,Junior SWE,04/22,10/22
1132,Providence School,2.92,Masters,Miami,M,0,1,1,2,Data scientist,11/20,N/A,Junior SWE,12/19,09/20,Junior SWE,07/19,03/20
1133,Providence University,2.5,Masters,Providence,N/A,N/A,0,0,3,Data scientist,07/22,N/A,ML Engineer,07/21,04/22,Data scientist,07/21,01/22
1134,Providence State University,2.77,Phd,Chicago,F,1,1,1,2,Lawyer,09/21,N/A,Research Assistant,02/21,06/21,ML Engineer,06/20,03/21
1135,Providence State University,2.93,Bachelors,Miami,M,0,0,0,3,Junior SWE,01/22,N/A,Junior SWE,03/21,08/21,Lawyer,10/20,02/21
1136,Providence University,2.93,Phd,Boston,M,0,0,1,1,ML Engineer,08/21,02/22,Teaching Assistant,09/20,05/21,N/A,N/A,N/A
1137,State Providence College,2.97,Phd,Boston,M,1,1,1,3,Junior SWE,02/23,04/23,N/A,N/A,N/A,N/A,N/A,N/A
1138,State Providence College,3.45,Masters,Boston,M,1,1,N/A,3,Senior SWE,06/21,04/22,Senior SWE,08/20,03/21,Research Assistant,06/20,08/20
1139,Providence State University,2.98,Masters,Chicago,N/A,1,1,N/A,3,Junior SWE,05/21,N/A,Senior SWE,06/20,04/21,Senior SWE,11/19,09/20
1140,Providence University,2.7,Phd,Miami,M,N/A,1,0,2,Junior SWE,06/21,08/21,ML Engineer,12/20,05/21,Research Assistant,03/20,10/20
1141,Providence School,3.19,Masters,Chicago,N/A,1,0,0,2,Data scientist,02/21,01/22,N/A,N/A,N/A,N/A,N/A,N/A
1142,State Providence College,3.28,Phd,Providence,F,1,0,1,0,Junior SWE,07/22,N/A,Research Assistant,01/22,04/22,Research Assistant,04/21,09/21
1143,Providence University,2.31,Masters,Boston,N/A,1,1,1,4,Lawyer,09/21,07/22,Lawyer,02/21,07/21,N/A,N/A,N/A
1144,Providence School,3.04,Bachelors,Miami,M,1,1,N/A,4,Senior SWE,01/20,N/A,Lawyer,02/19,08/19,Data scientist,12/18,01/19
1145,Providence State University,3.08,Phd,Chicago,N/A,1,1,0,1,Data scientist,11/21,N/A,ML Engineer,02/21,09/21,ML Engineer,07/20,02/21
1146,Providence School,2.68,Phd,Miami,M,0,1,0,4,Data scientist,09/20,07/21,N/A,N/A,N/A,N/A,N/A,N/A
1147,Providence State University,3.35,Bachelors,Miami,M,0,0,0,0,Data scientist,08/23,09/23,ML Engineer,09/22,05/23,Research Assistant,07/22,08/22
1148,Providence University,2.74,Bachelors,Los Angeles,N/A,1,0,1,3,Senior SWE,07/20,11/20,N/A,N/A,N/A,N/A,N/A,N/A
1149,State Providence College,2.85,Phd,Los Angeles,M,0,1,N/A,4,ML Engineer,01/22,08/22,Teaching Assistant,05/21,09/21,Teaching Assistant,12/20,04/21
1150,State Providence College,2.73,Masters,Boston,M,1,1,0,2,Lawyer,04/20,N/A,Teaching Assistant,10/19,02/20,Junior SWE,02/19,04/19
1151,Providence University,2.81,Masters,Providence,F,0,0,0,3,Junior SWE,09/22,11/22,Junior SWE,12/21,07/22,Teaching Assistant,05/21,09/21
1152,Providence University,2.36,Masters,Providence,M,0,1,N/A,3,Junior SWE,06/20,11/20,Research Assistant,11/19,03/20,Teaching Assistant,02/19,06/19
1153,Providence State University,2.22,Phd,Miami,F,1,1,0,4,Lawyer,10/21,12/21,ML Engineer,01/21,06/21,ML Engineer,06/20,02/21
1154,Providence School,3.44,Bachelors,Boston,F,0,0,N/A,2,Junior SWE,08/23,N/A,Research Assistant,12/22,06/23,Lawyer,05/22,12/22
1155,State Providence College,2.46,Bachelors,Providence,F,0,0,1,0,ML Engineer,11/22,10/23,N/A,N/A,N/A,N/A,N/A,N/A
1156,Providence School,2.4,Bachelors,Chicago,F,N/A,1,N/A,0,ML Engineer,08/22,N/A,Lawyer,09/21,05/22,Data scientist,03/21,10/21
1157,Providence University,1.94,Phd,Los Angeles,N/A,1,0,0,1,Senior SWE,01/21,N/A,Research Assistant,04/20,08/20,Research Assistant,07/19,07/20
1158,Providence State University,2.54,Masters,Providence,M,0,1,0,2,Senior SWE,04/21,10/21,N/A,N/A,N/A,N/A,N/A,N/A
1159,State Providence College,2.27,Bachelors,Los Angeles,N/A,1,0,N/A,2,Data scientist,05/20,N/A,Teaching Assistant,11/19,02/20,Research Assistant,02/19,06/19
1160,Providence University,3.46,Phd,Los Angeles,M,1,0,1,1,Lawyer,09/22,01/23,N/A,N/A,N/A,N/A,N/A,N/A
1161,State Providence College,3.2,Bachelors,Miami,N/A,1,1,0,1,Junior SWE,03/20,N/A,ML Engineer,05/19,10/19,Research Assistant,11/18,06/19
1162,Providence School,2.52,Masters,Providence,N/A,N/A,0,1,0,Lawyer,05/21,12/21,Junior SWE,10/20,04/21,Junior SWE,04/20,10/20
1163,Providence State University,3.7,Masters,Los Angeles,N/A,1,0,0,1,ML Engineer,08/22,N/A,Junior SWE,01/22,06/22,N/A,N/A,N/A
1164,State Providence College,3.19,Phd,Miami,M,N/A,1,0,3,Senior SWE,12/23,04/24,Junior SWE,01/23,07/23,Lawyer,08/22,01/23
1165,Providence State University,2.67,Phd,Providence,M,N/A,0,N/A,1,Lawyer,08/23,12/23,Junior SWE,09/22,03/23,N/A,N/A,N/A
1166,State Providence College,1.8,Phd,Boston,F,0,1,0,3,Senior SWE,02/22,09/22,Teaching Assistant,02/21,12/21,Senior SWE,12/20,08/21
1167,Providence School,3.72,Phd,Providence,F,1,1,1,4,Data scientist,01/22,11/22,Data scientist,04/21,12/21,Data scientist,11/20,07/21
1168,Providence University,2.24,Masters,Chicago,N/A,N/A,0,0,1,Junior SWE,11/21,N/A,Research Assistant,04/21,06/21,Lawyer,08/20,02/21
1169,State Providence College,2.14,Masters,Chicago,N/A,N/A,1,0,0,Lawyer,10/22,N/A,ML Engineer,01/22,09/22,Lawyer,04/21,01/22
1170,Providence University,3.21,Phd,Chicago,N/A,0,1,1,1,Data scientist,04/22,03/23,Senior SWE,07/21,03/22,Research Assistant,11/20,09/21
1171,Providence School,3.78,Bachelors,Providence,M,0,1,1,1,Senior SWE,12/23,N/A,ML Engineer,03/23,07/23,N/A,N/A,N/A
1172,Providence School,3.35,Masters,Chicago,N/A,0,1,0,3,Junior SWE,03/21,N/A,Data scientist,06/20,01/21,Junior SWE,12/19,05/20
1173,Providence State University,3.03,Phd,Boston,M,1,1,1,2,Lawyer,05/20,N/A,Junior SWE,10/19,01/20,Senior SWE,04/19,07/19
1174,Providence University,3.04,Bachelors,Miami,N/A,1,1,1,2,Junior SWE,09/22,10/22,Data scientist,02/22,07/22,Research Assistant,03/21,03/22
1175,Providence State University,3.14,Phd,Miami,M,1,0,1,1,Senior SWE,01/21,N/A,Lawyer,07/20,12/20,Research Assistant,09/19,01/20
1176,Providence University,3.1,Phd,Chicago,N/A,0,1,1,2,Senior SWE,09/21,07/22,Lawyer,01/21,05/21,Research Assistant,06/20,03/21
1177,Providence University,2.91,Masters,Chicago,N/A,N/A,0,N/A,3,Data scientist,07/23,N/A,Research Assistant,11/22,06/23,N/A,N/A,N/A
1178,State Providence College,2.84,Phd,Los Angeles,N/A,0,1,0,1,Junior SWE,02/22,N/A,Teaching Assistant,07/21,01/22,Lawyer,02/21,04/21
1179,Providence State University,2.77,Masters,Providence,M,0,0,0,1,Senior SWE,04/22,N/A,ML Engineer,04/21,02/22,Data scientist,01/21,07/21
1180,Providence School,2.5,Masters,Chicago,M,1,0,N/A,0,ML Engineer,02/21,11/21,ML Engineer,04/20,01/21,Lawyer,11/19,04/20
1181,Providence State University,2.69,Masters,Providence,M,1,0,0,4,Data scientist,08/22,N/A,Senior SWE,02/22,07/22,ML Engineer,05/21,08/21
1182,Providence University,2.12,Phd,Los Angeles,N/A,0,1,N/A,0,Senior SWE,02/23,09/23,Teaching Assistant,07/22,10/22,Data scientist,10/21,08/22
1183,Providence University,2.76,Bachelors,Boston,M,1,0,1,3,ML Engineer,11/23,04/24,Senior SWE,03/23,09/23,Research Assistant,07/22,12/22
1184,Providence State University,2.4,Phd,Los Angeles,M,N/A,0,0,2,ML Engineer,03/23,N/A,Lawyer,07/22,10/22,Data scientist,03/22,06/22
1185,State Providence College,2.36,Masters,Chicago,F,1,1,N/A,0,ML Engineer,08/22,05/23,Junior SWE,09/21,04/22,Lawyer,04/21,01/22
1186,Providence School,2.87,Bachelors,Miami,N/A,N/A,0,0,3,Data scientist,12/22,N/A,Data scientist,06/22,07/22,Junior SWE,08/21,12/21
1187,State Providence College,3.36,Masters,Los Angeles,N/A,1,0,0,1,Data scientist,05/23,N/A,Senior SWE,11/22,03/23,Research Assistant,05/22,11/22
1188,Providence State University,3.17,Masters,Providence,M,N/A,1,1,2,Senior SWE,09/20,06/21,N/A,N/A,N/A,N/A,N/A,N/A
1189,Providence State University,2.17,Bachelors,Providence,M,0,0,N/A,0,Lawyer,12/21,09/22,Senior SWE,04/21,07/21,Data scientist,07/20,06/21
1190,Providence School,2.4,Phd,Providence,M,1,1,N/A,3,ML Engineer,05/20,N/A,Junior SWE,06/19,02/20,ML Engineer,03/19,07/19
1191,Providence State University,3.18,Bachelors,Los Angeles,M,0,0,N/A,4,ML Engineer,07/22,03/23,Junior SWE,07/21,04/22,N/A,N/A,N/A
1192,Providence University,2.41,Masters,Boston,N/A,0,1,1,2,Data scientist,08/21,05/22,ML Engineer,01/21,05/21,Junior SWE,05/20,08/20
1193,Providence State University,2.71,Bachelors,Los Angeles,F,N/A,0,1,1,Senior SWE,08/21,N/A,Data scientist,09/20,04/21,Junior SWE,03/20,09/20
1194,Providence School,3.02,Masters,Miami,F,0,1,1,1,Senior SWE,04/22,N/A,Junior SWE,10/21,02/22,Junior SWE,04/21,09/21
1195,State Providence College,2.41,Bachelors,Boston,F,1,1,0,2,Lawyer,08/20,10/20,Teaching Assistant,11/19,04/20,Data scientist,03/19,09/19
1196,Providence State University,2.84,Bachelors,Los Angeles,M,1,0,0,3,Junior SWE,09/20,N/A,Senior SWE,03/20,06/20,Junior SWE,04/19,11/19
1197,State Providence College,2.27,Bachelors,Los Angeles,N/A,1,1,N/A,3,Lawyer,03/20,N/A,Senior SWE,04/19,12/19,Lawyer,02/19,04/19
1198,State Providence College,2.56,Masters,Miami,M,N/A,0,N/A,3,ML Engineer,07/20,N/A,Lawyer,08/19,02/20,Junior SWE,07/19,07/19
1199,Providence University,2.93,Phd,Providence,M,N/A,1,N/A,2,Data scientist,04/23,04/24,Junior SWE,07/22,11/22,ML Engineer,03/22,05/22
1200,Providence School,2.16,Phd,Chicago,F,1,1,0,0,ML Engineer,10/21,04/22,N/A,N/A,N/A,N/A,N/A,N/A
1201,State Providence College,2.98,Bachelors,Los Angeles,N/A,0,1,N/A,1,Lawyer,09/20,05/21,ML Engineer,02/20,05/20,Research Assistant,04/19,09/19
1202,Providence University,2.79,Phd,Providence,M,1,1,1,2,Data scientist,12/22,N/A,Data scientist,06/22,09/22,Research Assistant,12/21,04/22
1203,Providence State University,3.02,Bachelors,Miami,M,0,1,N/A,4,Data scientist,03/23,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1204,State Providence College,2.89,Masters,Los Angeles,M,N/A,0,1,1,Data scientist,02/21,11/21,ML Engineer,07/20,10/20,Senior SWE,01/20,03/20
1205,State Providence College,3.35,Masters,Los Angeles,N/A,N/A,1,N/A,3,ML Engineer,05/22,N/A,Senior SWE,05/21,03/22,ML Engineer,05/21,05/21
1206,Providence State University,2.85,Masters,Miami,M,1,0,1,4,Data scientist,07/23,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1207,Providence State University,2.63,Phd,Providence,F,0,1,N/A,4,ML Engineer,06/21,01/22,ML Engineer,10/20,02/21,Data scientist,02/20,08/20
1208,Providence University,2.85,Phd,Providence,F,1,1,1,0,Data scientist,09/22,N/A,Senior SWE,02/22,07/22,Junior SWE,03/21,03/22
1209,Providence State University,3.02,Bachelors,Los Angeles,M,1,0,1,0,Lawyer,05/21,01/22,Senior SWE,08/20,03/21,Junior SWE,12/19,05/20
1210,Providence State University,2.82,Phd,Los Angeles,F,1,0,0,2,ML Engineer,01/23,N/A,Senior SWE,02/22,08/22,Lawyer,10/21,04/22
1211,Providence School,2.82,Phd,Boston,F,1,1,1,1,Junior SWE,05/20,12/20,Senior SWE,11/19,12/19,N/A,N/A,N/A
1212,State Providence College,2.52,Bachelors,Providence,F,0,0,0,3,Senior SWE,12/23,05/24,Teaching Assistant,03/23,07/23,Junior SWE,10/22,01/23
1213,Providence State University,2.53,Phd,Boston,M,0,1,N/A,3,Lawyer,05/22,N/A,Senior SWE,11/21,04/22,Teaching Assistant,03/21,08/21
1214,Providence School,2.24,Bachelors,Chicago,M,1,1,0,4,Senior SWE,10/20,N/A,Lawyer,01/20,06/20,ML Engineer,09/19,04/20
1215,Providence University,3.5,Masters,Chicago,N/A,N/A,0,0,1,Junior SWE,10/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1216,Providence University,2.3,Phd,Chicago,M,1,0,0,1,Lawyer,11/21,N/A,ML Engineer,11/20,07/21,Data scientist,09/20,12/20
1217,Providence School,2.52,Bachelors,Providence,F,N/A,0,1,1,Data scientist,08/21,N/A,Lawyer,12/20,05/21,Research Assistant,07/20,12/20
1218,Providence University,2.51,Masters,Los Angeles,N/A,0,0,0,3,Senior SWE,03/23,N/A,Teaching Assistant,06/22,11/22,Senior SWE,02/22,05/22
1219,Providence State University,3.16,Phd,Providence,N/A,0,0,N/A,3,Lawyer,08/21,11/21,Research Assistant,11/20,06/21,Junior SWE,07/20,09/20
1220,Providence University,2.68,Bachelors,Providence,M,1,1,1,1,Junior SWE,09/21,N/A,Research Assistant,11/20,06/21,Senior SWE,09/20,12/20
1221,Providence State University,3.3,Masters,Los Angeles,F,0,1,1,1,ML Engineer,08/21,07/22,Lawyer,02/21,05/21,Junior SWE,02/20,12/20
1222,Providence State University,2.53,Phd,Los Angeles,F,N/A,1,N/A,2,Senior SWE,06/23,08/23,Junior SWE,08/22,04/23,Data scientist,03/22,07/22
1223,Providence State University,2.91,Bachelors,Los Angeles,F,0,0,0,1,Senior SWE,06/22,N/A,Junior SWE,07/21,01/22,N/A,N/A,N/A
1224,Providence University,2.47,Masters,Providence,F,1,0,1,1,Senior SWE,09/20,06/21,Junior SWE,02/20,04/20,ML Engineer,08/19,09/19
1225,Providence State University,3.66,Phd,Boston,F,0,0,1,4,Data scientist,09/21,N/A,Data scientist,02/21,07/21,Research Assistant,07/20,10/20
1226,Providence State University,2.32,Phd,Chicago,N/A,N/A,1,0,2,Junior SWE,07/23,N/A,Junior SWE,08/22,02/23,Data scientist,02/22,10/22
1227,Providence State University,2.92,Phd,Boston,M,N/A,0,0,3,Senior SWE,08/21,N/A,ML Engineer,11/20,07/21,Senior SWE,08/20,01/21
1228,Providence University,3.05,Phd,Chicago,N/A,1,1,N/A,1,Senior SWE,06/20,N/A,Lawyer,10/19,02/20,Junior SWE,04/19,07/19
1229,Providence School,2.97,Bachelors,Providence,N/A,1,0,0,4,ML Engineer,04/22,01/23,ML Engineer,06/21,01/22,Senior SWE,03/21,07/21
1230,Providence School,2.73,Bachelors,Boston,M,1,0,0,1,Senior SWE,12/22,11/23,N/A,N/A,N/A,N/A,N/A,N/A
1231,State Providence College,2.75,Masters,Providence,M,N/A,1,N/A,3,Lawyer,04/21,N/A,Junior SWE,04/20,11/20,ML Engineer,03/20,07/20
1232,Providence State University,2.82,Phd,Los Angeles,M,0,0,N/A,1,Senior SWE,10/20,N/A,Teaching Assistant,03/20,07/20,Teaching Assistant,10/19,11/19
1233,Providence State University,2.74,Phd,Los Angeles,N/A,1,0,0,1,Lawyer,07/21,02/22,Data scientist,01/21,06/21,Research Assistant,06/20,07/20
1234,Providence State University,3.19,Bachelors,Chicago,M,N/A,1,N/A,3,Lawyer,04/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1235,Providence School,3.68,Bachelors,Chicago,N/A,0,1,0,1,Junior SWE,07/23,N/A,Teaching Assistant,08/22,06/23,Data scientist,03/22,07/22
1236,Providence State University,2.58,Masters,Providence,M,0,0,N/A,1,Lawyer,01/23,08/23,Data scientist,05/22,08/22,Senior SWE,07/21,07/22
1237,Providence State University,2.25,Phd,Chicago,N/A,N/A,0,N/A,2,Lawyer,06/23,04/24,Research Assistant,12/22,05/23,Senior SWE,02/22,12/22
1238,State Providence College,2.76,Bachelors,Chicago,M,1,1,0,4,Data scientist,12/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1239,State Providence College,3.83,Phd,Chicago,F,N/A,0,1,1,Junior SWE,08/20,N/A,Research Assistant,12/19,05/20,ML Engineer,06/19,09/19
